Date,Short Volume,Total Volume
2020-07-16,42983,75130
2020-07-15,48740,82466
2020-07-14,65981,106205
2020-07-13,83908,137493
2020-07-10,88909,158309
2020-07-09,107562,179477
2020-07-08,69264,121510
2020-07-07,107473,191595
2020-07-06,104112,181767
2020-07-02,129026,264725
2020-07-01,121776,216191
2020-06-30,76155,124739
2020-06-29,106511,184963
2020-06-26,182895,336254
2020-06-25,51520,84859
2020-06-24,68161,113719
2020-06-23,63672,100074
2020-06-22,56858,85677
2020-06-19,97154,140376
2020-06-18,72995,120997
2020-06-17,57937,97773
2020-06-16,70660,121320
2020-06-15,68711,97989
2020-06-12,92720,169354
2020-06-11,99048,170228
2020-06-10,63600,122465
2020-06-09,71059,120469
2020-06-08,60755,101733
2020-06-05,90307,180589
2020-06-04,65872,123080
2020-06-03,62380,109419
2020-06-02,50074,89159
2020-06-01,45275,76601
2020-05-29,114123,202850
2020-05-28,130085,245316
2020-05-27,114492,187607
2020-05-26,152572,260020
2020-05-22,95594,161720
2020-05-21,103359,179936
2020-05-20,101636,195391
2020-05-19,96314,157448
2020-05-18,147793,254435
2020-05-15,185305,231774
2020-05-14,128096,181140
2020-05-13,160297,234458
2020-05-12,131974,167649
2020-05-11,104076,135522
2020-05-08,130838,173104
2020-05-07,101558,139674
2020-05-06,124469,166129
2020-05-05,139610,180695
2020-05-04,91939,137232
2020-05-01,174388,233387
2020-04-30,128164,182615
2020-04-29,377559,565149
2020-04-28,198652,321596
2020-04-27,109108,158754
2020-04-24,107870,186588
2020-04-23,107230,177163
2020-04-22,146808,242077
2020-04-21,122010,207988
2020-04-20,91953,153070
2020-04-17,126657,217456
2020-04-16,172710,250973
2020-04-15,107109,196192
2020-04-14,173377,322467
2020-04-13,102832,155597
2020-04-09,141871,246177
2020-04-08,133394,221114
2020-04-07,165982,311171
2020-04-06,190297,326095
2020-04-03,182418,266483
2020-04-02,217943,319559
2020-04-01,216307,282881
2020-03-31,199994,309807
2020-03-30,156910,249276
2020-03-27,198232,292975
2020-03-26,290687,402871
2020-03-25,304282,445231
2020-03-24,259893,394198
2020-03-23,263489,420497
2020-03-20,265971,385041
2020-03-19,212302,366348
2020-03-18,233711,373819
2020-03-17,190702,385419
2020-03-16,161481,354572
2020-03-13,193485,369635
2020-03-12,282484,486739
2020-03-11,160702,241388
2020-03-10,159682,255097
2020-03-09,240594,320493
2020-03-06,222535,349086
2020-03-05,125603,213669
2020-03-04,99347,162542
2020-03-03,123651,194395
2020-03-02,108093,182762
2020-02-28,159271,247379
2020-02-27,141527,233884
2020-02-26,133858,201465
2020-02-25,154444,226609
2020-02-24,141450,212141
2020-02-21,128857,186624
2020-02-20,56766,96623
2020-02-19,47547,84961
2020-02-18,56246,103077
2020-02-14,48768,87632
2020-02-13,32133,58329
2020-02-12,46270,79423
2020-02-11,79652,148968
2020-02-10,71176,122344
2020-02-07,72426,135772
2020-02-06,94155,177320
2020-02-05,96367,152040
2020-02-04,290364,426885
2020-02-03,196202,308214
2020-01-31,165026,234327
2020-01-30,68113,110152
2020-01-29,64237,98612
2020-01-28,72219,98756
2020-01-27,80451,121681
2020-01-24,99502,170774
2020-01-23,60472,94667
2020-01-22,94624,144529
2020-01-21,114231,174557
2020-01-17,114140,218098
2020-01-16,54332,110559
2020-01-15,46744,92595
2020-01-14,59294,118716
2020-01-13,64177,116613
2020-01-10,86373,160652
2020-01-09,67370,147419
2020-01-08,68219,147224
2020-01-07,71288,142907
2020-01-06,97848,173895
2020-01-03,66643,124424
2020-01-02,75030,144874
2019-12-31,63876,97293
2019-12-30,36504,78286
2019-12-27,65146,112780
2019-12-26,37831,72310
2019-12-24,21661,37493
2019-12-23,37469,66644
2019-12-20,68043,123323
2019-12-19,50382,91387
2019-12-18,52165,90071
2019-12-17,65521,110589
2019-12-16,58359,106877
2019-12-13,56873,116665
2019-12-12,76552,151314
2019-12-11,32391,71668
2019-12-10,50697,90598
2019-12-09,65407,130793
2019-12-06,75469,156091
2019-12-05,75841,134019
2019-12-04,80866,156754
2019-12-03,64622,114609
2019-12-02,60948,110570
2019-11-29,30768,64291
2019-11-27,38011,76321
2019-11-26,39663,69515
2019-11-25,38406,75775
2019-11-22,46384,107523
2019-11-21,46990,94262
2019-11-20,68256,117728
2019-11-19,51557,101937
2019-11-18,74807,123280
2019-11-15,98565,183307
2019-11-14,69738,134997
2019-11-13,36347,78799
2019-11-12,48899,89050
2019-11-11,41572,69714
2019-11-08,76758,161536
2019-11-07,103031,202672
2019-11-06,40910,86985
2019-11-05,50437,93957
2019-11-04,62540,108270
2019-11-01,64526,134536
2019-10-31,66206,127359
2019-10-30,58286,114101
2019-10-29,126648,233885
2019-10-28,146998,255921
2019-10-25,63842,132382
2019-10-24,54174,108269
2019-10-23,39740,92945
2019-10-22,40758,88508
2019-10-21,44028,83430
2019-10-18,76209,135126
2019-10-17,48970,111106
2019-10-16,40848,83116
2019-10-15,42652,100949
2019-10-14,29344,59465
2019-10-11,55676,130603
2019-10-10,31838,62000
2019-10-09,36335,74152
2019-10-08,43537,80470
2019-10-07,43329,73896
2019-10-04,69511,155023
2019-10-03,89670,149983
2019-10-02,95485,172316
2019-10-01,54176,95170
2019-09-30,63129,101434
2019-09-27,107584,162270
2019-09-26,73838,121027
2019-09-25,53782,110940
2019-09-24,89648,148829
2019-09-23,35109,68094
2019-09-20,71218,112248
2019-09-19,37210,65812
2019-09-18,31047,61418
2019-09-17,40489,75195
2019-09-16,39734,75823
2019-09-13,81705,152890
2019-09-12,116101,196893
2019-09-11,43407,116671
2019-09-10,43653,98815
2019-09-09,61082,114242
2019-09-06,33049,81880
2019-09-05,68480,157820
2019-09-04,39951,85075
2019-09-03,47956,93365
2019-08-30,39884,76738
2019-08-29,41718,84320
2019-08-28,28204,48879
2019-08-27,43312,65693
2019-08-26,51951,100259
2019-08-23,80990,146853
2019-08-22,40435,66497
2019-08-21,18148,40919
2019-08-20,27497,46934
2019-08-19,44997,91459
2019-08-16,42019,81627
2019-08-15,46334,86856
2019-08-14,56368,99865
2019-08-13,47804,96341
2019-08-12,37600,61000
2019-08-09,40795,78775
2019-08-08,40817,86962
2019-08-07,63363,108603
2019-08-06,70500,114178
2019-08-05,101894,162393
2019-08-02,97236,144266
2019-08-01,86137,155397
2019-07-31,58156,108521
2019-07-30,47954,81093
2019-07-29,70007,123782
2019-07-26,251008,491499
2019-07-25,85281,167199
2019-07-24,56514,90833
2019-07-23,52700,74165
2019-07-22,54559,94119
2019-07-19,51632,92071
2019-07-18,43512,78440
2019-07-17,31445,52077
2019-07-16,46027,81993
2019-07-15,31112,54612
2019-07-12,46668,81796
2019-07-11,51167,86532
2019-07-10,64589,97492
2019-07-09,60226,102295
2019-07-08,62297,106731
2019-07-05,66609,128810
2019-07-03,34416,83545
2019-07-02,34129,83489
2019-07-01,44352,79061
2019-06-28,72250,125651
2019-06-27,57244,92654
2019-06-26,75146,127744
2019-06-25,61897,130277
2019-06-24,46199,75799
2019-06-21,88686,152838
2019-06-20,37024,72931
2019-06-19,38812,77454
2019-06-18,53510,101364
2019-06-17,24779,53774
2019-06-14,43022,84525
2019-06-13,35385,72807
2019-06-12,29671,63570
2019-06-11,48886,98526
2019-06-10,44108,82054
2019-06-07,54782,108889
2019-06-06,45210,74406
2019-06-05,69125,112483
2019-06-04,96025,164200
2019-06-03,160886,280197
2019-05-31,52144,88633
2019-05-30,39200,66708
2019-05-29,43888,96089
2019-05-28,34116,52247
2019-05-24,32921,51236
2019-05-23,44319,72914
2019-05-22,21558,34316
2019-05-21,37948,60897
2019-05-20,62148,92896
2019-05-17,55032,89283
2019-05-16,53420,92067
2019-05-15,71954,128316
2019-05-14,82049,115663
2019-05-13,66484,96475
2019-05-10,60426,100943
2019-05-09,50307,68594
2019-05-08,31993,58559
2019-05-07,59081,90930
2019-05-06,37301,63163
2019-05-03,68379,135122
2019-05-02,67369,116454
