Date,Open,High,Low,Close,Adj Close,Volume
2020-04-21,9718.074219,9838.333008,9728.248047,9763.935547,9763.935547,46248428075
2020-04-22,9762.682617,10125.87012,9747.394531,10096.27832,10096.27832,47166351947
2020-04-23,10102.09277,10533.73438,10009.76367,10451.16309,10451.16309,61191201960
2020-04-24,10457.43262,10678.70703,10457.43262,10642.80664,10642.80664,48819317887
2020-04-25,10642.2168,10773.17676,10601.60938,10669.63574,10669.63574,46430279131
2020-04-26,10669.92188,10856.68262,10657.61523,10836.67676,10836.67676,46663641494
2020-04-27,10836.04395,10941.60156,10836.04395,10941.60156,10941.60156,50755776012
2020-04-28,10943.52344,10927.05371,10822.7041,10917.11719,10917.11719,46408881575
2020-04-29,10916.63379,12314.76563,10859.30371,12211.46582,12211.46582,83529140534
2020-04-30,12206.79395,13105.13379,11900.92285,12083.23731,12083.23731,93450881605
2020-05-01,12103.09277,12691.05664,12096.08887,12644.25977,12644.25977,62856948072
2020-05-02,12650.37988,12847.40234,12568.09277,12820.88379,12820.88379,57245685298
2020-05-03,12813.77832,13076.46484,12596.05566,12576.12695,12576.12695,66576018255
2020-05-04,12573.69043,12618.08691,12212.49707,12551.24609,12551.24609,64383494855
2020-05-05,12551.49609,12740.02441,12452.61035,12642.56152,12642.56152,60591228695
2020-05-06,12648.69922,13337.79102,12602.53516,13128.22852,13128.22852,69930093790
2020-05-07,13118.50195,13969.81445,12917.11035,13904.59082,13904.59082,85388681944
2020-05-08,13883.13379,13931.15137,13611.69824,13795.97363,13795.97363,72578485493
2020-05-09,13793.50684,13896.75781,13429.66797,13448.24512,13448.24512,65274061291
2020-05-10,13444.42188,13450.60547,11767.8418,12194.48633,12194.48633,88188810414
2020-05-11,12193.23926,12639.66895,11745.08008,12061.86914,12061.86914,80096322005
2020-05-12,12073.91406,12553.66406,12016.45801,12397.9375,12397.9375,59342846267
2020-05-13,12399.21875,13138.75879,12399.21875,13062.2002,13062.2002,64195297371
2020-05-14,13064.08984,13785.37695,13053.15332,13659.96387,13659.96387,79187547236
2020-05-15,13660.7627,13691.7002,13066.92481,13162.55273,13162.55273,67954478024
2020-05-16,13169.66797,13493.03711,13064.84863,13228.95117,13228.95117,51020709976
2020-05-17,13226.01074,13858.14453,13190.19922,13627.93848,13627.93848,56486445444
2020-05-18,13634.92188,13945.71875,13466.34668,13559.82813,13559.82813,58311257556
2020-05-19,13560.50879,13682.08008,13308.70117,13560.93652,13560.93652,54715061711
2020-05-20,13555.7666,13664.70606,13141.04785,13241.13379,13241.13379,50815353532
2020-05-21,13240.79883,13300.10449,12369.59766,12666.33301,12666.33301,54848196095
2020-05-22,12664.34277,12934.78906,12610.04004,12857.9043,12857.9043,41742535872
2020-05-23,12861.38379,13025.82813,12767.63184,12895.30469,12895.30469,38825945503
2020-05-24,12899.5,13006.08789,12291.23731,12293.21582,12293.21582,45477123670
2020-05-25,12287.25781,12519.43164,12189.14551,12445.06348,12445.06348,43716845839
2020-05-26,12448.76758,12506.54981,12102.19434,12177.46875,12177.46875,40776269464
2020-05-27,12180.67773,12685.89356,12177.1709,12630.37207,12630.37207,45041320319
2020-05-28,12635.77441,13149.14844,12594.92773,13121.02637,13121.02637,47338134419
2020-05-29,13124.61426,13196.64844,12885.61719,13000.03418,13000.03418,45306900255
2020-05-30,12999.74414,13364.87598,12900.32813,13359.89551,13359.89551,45067717513
2020-05-31,13359.4707,13359.79883,12999.26172,13034.29297,13034.29297,38262651032
2020-06-01,13037.80176,13849.4082,12830.77734,13812.48828,13812.48828,47818587074
2020-06-02,13806.65332,13741.62891,12767.56152,12873.86035,12873.86035,52870709560
2020-06-03,12879.20508,13066.37988,12789.36035,13031.10352,13031.10352,33745915782
2020-06-04,13029.93848,13332.88965,12865.56055,13233.3291,13233.3291,35000969142
2020-06-05,13232.76074,13301.33301,12960.1709,12972.78809,12972.78809,31553918280
2020-06-06,12971.94531,13117.60742,12872.78516,12956.87891,12956.87891,27431833128
2020-06-07,12955.97168,13094.59375,12700.59375,13071.93359,13071.93359,33507803432
2020-06-08,13073.55566,13109.1709,12955.63379,13063.21094,13063.21094,28724451794
2020-06-09,13067.04883,13147.80273,13023.35547,13147.34766,13147.34766,31833021280
2020-06-10,13145.22656,13276.43457,13036.72754,13253.52344,13253.52344,34518676148
2020-06-11,13253.50195,13333.48828,12614.49414,12711.01367,12711.01367,41244460346
2020-06-12,12709.52637,12932.88281,12671.91895,12883.56641,12883.56641,30725609173
2020-06-13,12883.41895,12900.37305,12768.28418,12876.00195,12876.00195,23868245416
2020-06-14,12879.0957,12885.50586,12739.15332,12803.01563,12803.01563,25903583961
2020-06-15,12801.98926,12896.66895,12290.47852,12791.00488,12791.00488,36136581920
2020-06-16,12795.83008,12965.88379,12726.53906,12907.76074,12907.76074,29184533677
2020-06-17,12902.02148,12919.16406,12650.81055,12871.53223,12871.53223,27395680257
2020-06-18,12873.31348,12874.96289,12686.15137,12793.93848,12793.93848,24155673479
2020-06-19,12791.83691,12794.75684,12621.5752,12640.25,12640.25,26717885071
2020-06-20,12644.25391,12785.80469,12584.94434,12700.56934,12700.56934,23313296616
2020-06-21,12698.64453,12794.15527,12664.25684,12668.61328,12668.61328,20866871037
2020-06-22,12664.91699,13056.00488,12668.38184,13028.3252,13028.3252,28496005406
2020-06-23,13022.05859,13066.63184,12929.42578,13041.34961,13041.34961,23031642516
