Boarded_Belfast,Boarded_Cherbourg,Boarded_Queenstown,Boarded_Southampton,Female,Male,Pclass,Cabin,Age_wiki,Fare,Family_Count
0,0,0,1,0,1,3,0,22,7.25,1
0,1,0,0,1,0,1,1,35,71.2833,1
0,0,0,1,1,0,3,0,26,7.925,0
0,0,0,1,1,0,1,1,35,53.1,1
0,0,0,1,0,1,3,0,35,8.05,0
0,0,1,0,0,1,3,0,22,8.4583,0
0,0,0,1,0,1,1,1,54,51.8625,0
0,0,0,1,0,1,3,0,2,21.075,4
0,0,0,1,1,0,3,0,26,11.1333,2
0,1,0,0,1,0,2,0,14,30.0708,1
0,0,0,1,1,0,3,1,4,16.7,2
0,0,0,1,1,0,1,1,61,26.55,0
0,0,0,1,0,1,3,0,19,8.05,0
0,0,0,1,0,1,3,0,39,31.275,6
0,0,0,1,1,0,3,0,14,7.8542,0
0,0,0,1,1,0,2,0,56,16.0,0
0,0,1,0,0,1,3,0,2,29.125,5
0,0,0,1,0,1,2,0,23,13.0,0
0,0,0,1,1,0,3,0,31,18.0,1
0,1,0,0,1,0,3,0,22,7.225,0
0,0,0,1,0,1,2,0,35,26.0,0
0,0,0,1,0,1,2,1,34,13.0,0
0,0,1,0,1,0,3,0,16,8.0292,0
0,0,0,1,0,1,1,1,28,35.5,0
0,0,0,1,1,0,3,0,8,21.075,4
0,0,0,1,1,0,3,0,38,31.3875,6
0,1,0,0,0,1,3,0,25,7.225,0
0,0,0,1,0,1,1,1,19,263.0,5
0,0,1,0,1,0,3,0,25,7.8792,0
0,0,0,1,0,1,3,0,23,7.8958,0
0,1,0,0,0,1,1,0,40,27.7208,0
0,1,0,0,1,0,1,1,45,146.5208,1
0,0,1,0,1,0,3,0,19,7.75,0
0,0,0,1,0,1,2,0,66,10.5,0
0,1,0,0,0,1,1,0,28,82.1708,1
0,0,0,1,0,1,1,0,42,52.0,1
0,1,0,0,0,1,3,0,20,7.2292,0
0,0,0,1,0,1,3,0,21,8.05,0
0,0,0,1,1,0,3,0,18,18.0,2
0,1,0,0,1,0,3,0,14,11.2417,1
0,0,0,1,1,0,3,0,40,9.475,1
0,0,0,1,1,0,2,0,27,21.0,1
0,1,0,0,0,1,3,0,29,7.8958,0
0,1,0,0,1,0,2,0,3,41.5792,3
0,0,1,0,1,0,3,0,19,7.8792,0
0,0,0,1,0,1,3,0,29,8.05,0
0,0,1,0,0,1,3,0,20,15.5,1
0,0,1,0,1,0,3,0,24,7.75,0
0,1,0,0,0,1,3,0,16,21.6792,2
0,0,0,1,1,0,3,0,18,17.8,1
0,0,0,1,0,1,3,0,7,39.6875,5
0,0,0,1,0,1,3,0,21,7.8,0
0,1,0,0,1,0,1,1,49,76.7292,1
0,0,0,1,1,0,2,0,29,26.0,1
0,0,0,1,0,1,1,1,64,61.9792,1
0,0,0,1,0,1,1,1,45,35.5,0
0,0,0,1,1,0,2,0,21,10.5,0
0,1,0,0,0,1,3,0,20,7.2292,0
0,0,0,1,1,0,2,0,4,27.75,3
0,0,0,1,0,1,3,0,13,46.9,7
