Boarded_Belfast,Boarded_Cherbourg,Boarded_Queenstown,Boarded_Southampton,Female,Male,Pclass,Cabin,Age_wiki,Fare,Family_Count
0,0,0,1,0,1,2,0,62,10.5,0
0,0,1,0,0,1,3,0,8,29.125,5
0,0,0,1,0,1,3,0,32,56.4958,0
0,0,0,1,1,0,3,0,20,9.825,1
0,1,0,0,0,1,3,0,18,7.225,0
0,1,0,0,1,0,3,0,24,22.3583,2
0,0,0,1,0,1,3,0,37,7.925,2
0,1,0,0,1,0,3,0,17,14.4583,0
0,0,1,0,1,0,3,0,26,7.75,0
0,0,0,1,0,1,1,1,46,61.175,1
0,0,0,1,0,1,3,0,33,20.525,2
0,0,0,1,0,1,3,0,24,8.05,0
0,0,0,1,0,1,1,1,29,66.6,1
0,1,0,0,1,0,1,1,56,83.1583,1
0,1,0,0,0,1,2,0,31,37.0042,2
0,0,1,0,0,1,3,0,19,7.75,0
0,0,0,1,1,0,3,0,11,31.275,6
0,0,0,1,1,0,3,0,18,9.8417,0
0,0,0,1,0,1,3,0,59,7.25,0
0,0,0,1,1,0,1,1,61,26.55,0
0,0,0,1,1,0,3,0,32,16.1,1
0,1,0,0,1,0,2,0,3,41.5792,3
0,1,0,0,0,1,3,0,29,7.8958,0
0,1,0,0,1,0,1,1,17,57.9792,1
0,0,0,1,1,0,3,0,43,27.9,5
0,0,0,1,1,0,1,1,43,211.3375,1
0,0,0,1,0,1,1,1,46,26.55,0
0,0,1,0,0,1,3,0,27,24.15,1
0,0,0,1,0,1,3,0,23,9.5,0
0,0,0,1,0,1,2,0,30,13.0,0
0,0,0,1,0,1,1,1,36,40.125,0
0,0,0,1,0,1,3,0,35,7.8958,0
0,0,1,0,1,0,3,0,40,7.75,2
0,1,0,0,1,0,1,1,50,28.7125,0
0,1,0,0,1,0,2,0,22,41.5792,3
0,1,0,0,1,0,1,1,24,49.5042,0
0,0,0,1,1,0,2,0,24,65.0,3
0,0,0,1,0,1,3,0,27,7.8958,0
0,0,0,1,1,0,1,1,30,86.5,0
0,0,0,1,1,0,2,0,23,18.75,5
0,0,0,1,0,1,3,0,30,7.8958,0
0,1,0,0,0,1,1,1,17,110.8833,2
0,0,0,1,1,0,2,0,56,16.0,0
